127.0.0.1 - - [29/Oct/2015:09:31:46 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:31:48 +0100] "GET /springMVC/ HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:31:56 +0100] "GET /springMVC/hola HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:38:09 +0100] "GET /springMVC/hola HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:39:52 +0100] "GET /springMVC/hola HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:44:51 +0100] "GET /springMVC/hola2 HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:44:57 +0100] "GET /springMVC/hola2 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:46:09 +0100] "GET /springMVC/hola2?name=Pepin HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:48:01 +0100] "GET /springMVC/hola2?name=Pepin HTTP/1.1" 400 1082
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:48:25 +0100] "GET /springMVC/hola2?name=Pepin HTTP/1.1" 400 1082
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:48:51 +0100] "GET /springMVC/hola2 HTTP/1.1" 400 1082
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:49:46 +0100] "GET /springMVC/hola2 HTTP/1.1" 500 6636
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:49:46 +0100] "GET /springMVC/hola2 HTTP/1.1" 500 6636
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:51:23 +0100] "GET /springMVC/hola2 HTTP/1.1" 500 6636
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:51:29 +0100] "GET /springMVC/hola2 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:55:00 +0100] "GET /springMVC/hola3 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:55:57 +0100] "GET /springMVC/hola3 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:56:00 +0100] "GET /springMVC/hola3 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:56:05 +0100] "GET /springMVC/hola3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:58:23 +0100] "GET /springMVC/hola4 HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:58:29 +0100] "GET /springMVC/hola4 HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:00:15 +0100] "GET /springMVC/hola5 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:00:29 +0100] "GET /springMVC/hola5 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:00:45 +0100] "GET /springMVC/hola5 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:01:10 +0100] "GET /springMVC/hola2 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:07:19 +0100] "GET /springMVC/hola10 HTTP/1.1" 400 1096
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:08:14 +0100] "GET /springMVC/hola10?parametro1=Pepin&parametro2=Galvez&parametro3=Ridruejo&parametro4=Madrid HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:27:40 +0100] "GET /springMVC/cliente HTTP/1.1" 200 322
